word,meaning
conference,n. 会议
cholesterol,n. [生化] 胆固醇
cube,n. 立方
construct,n. 构想
calcium,n. [化学] 钙
interval,n. 间隔
advent,n. 到来
aggressiveness,n. 攻击性
category,n. 种类
fault,n. 故障
confusion,n. 混淆
wrinkle,n. 皱纹，起皱纹
huddle,n. 拥挤
clash,n. 冲突
marble,n. 大理石
booth,n. 货摊
imitation,n. 模仿
exceed,vt. 超过
cohesion,n. 凝聚
astound,vt. 使惊骇
absorb,vt. 吸收
livestock,n. 牲畜
decrease,n. 减少
moral,adj. 道德的
weigh,n. 权衡
ceramic,n. 陶瓷
acquisition,n. 获得物
character,n. 性格
arrange,vi. 安排
conservation,n. 保存
earthworm,n. [无脊椎] 蚯蚓
entice,vt. 诱使
manipulative,adj. 巧妙处理的；操纵的
memorise,vt. （英）记忆
retrenchment,n. 节省
motivational,adj. 动机的
reinforcement,n. 加固
intervention,n. 介入
infirmity,n. 虚弱
glossy,adj. 光滑的
escalate,vt. 逐步上升，逐步增强
extravagance,n. 奢侈
victimise,vt. 责怪，处罚不当
evaluation,n. 评价
maternal,adj. 母亲的
crusade,n. 改革运动
recalcitrant,n. 顽抗者
mortality,n. 死亡数
taunt,n. 嘲弄
disseminate,vt. 宣传
sanction,n. 制裁
frustration,n. 挫折
invert,n. 颠倒的事物
recipe,n. 食谱
condense,vt. 使浓缩
unfortunately,adv. 不幸地
gather,n. 聚集
Cantonese,n. 广东人；广东话，广州的
utility,n. 实用
exhibit,n. 展览品
irrevocable,adj. 不可改变的
shelter,n. 庇护；遮盖物，躲避
stock,n. 股份
devise,n. 遗赠
vt. 设计
career,n. 生涯；职业；事业；速度
humidity,n. [气象] 湿度
hollow,n. 洞；山谷；空的；
statistic,n. 统计数值，统计的
bark,n. 树皮
burrow,n. （兔、狐等的）洞穴
equivalent,n. 等价物
fatigue,n. 疲劳
bibliography,n. 参考书目
probable,n. 很可能的事
fortnight,n. 两星期
treadmill,n. 踏车
flavour,n. 香味
asymmetry,n. 不对称
lethal,adj. 致命的
stare,n. 凝视；注视
vt. 凝视
bungalow,n. 平房
colony,n. 殖民地
stab,n. 刺
fingerprint,n. 指纹
enthusiasm,n. 热心
briefly,adv. 短暂地
flint,n. 燧石
commodity,n. 商品
mixture,n. 混合
tendency,n. 倾向
lane,n. 小巷
assess,vt. 评定
inductive,adj. [数] 归纳的
session,n. 会议
constrain,vt. 驱使
negative,adj. [数] 负的
unwrap,adj. 准时的，守时的；精确的
punctual,adj. 准时的
intake,n. 摄取量
penetration,n. 渗透
municipal,adj. 市政的
deficit,n. 赤字
triumphant,adj. 成功的
plagiarise,vt. 剽窃
reptile,n. 爬行动物
circumscribe,vt. 外切
patronage,n. 赞助
analogy,n. 类比
precedent,n. 先例
obscurity,n. 朦胧
ascertain,vt. 确定
esteem,n. 尊重
legitimacy,n. 合法
discrepancy,n. 不符
benevolent,adj. 仁慈的
malevolent,adj. 恶毒的
downsize,vt. 缩小尺寸，裁剪人数
lunar,adj. 月亮的
complicated,adj. 难懂的
handle,n. [建] 把手
innovation,n. 创新
glitter,vi. 闪光
feedback,n. 反馈；成果
subsequent,adj. 后来的
shark,n. 鲨鱼
council,n. 委员会
venomous,adj. 有毒的
intellectual,n. 知识分子
strain,n. 张力，拉紧，血缘
champion,n. 冠军
leukaemia,n. 白血病
terminology,n. 术语
centennial,n. 百年纪念， 一百年的
Mediterranean,n. 地中海，地中海的
outdo,vt. 超过
discipline,n. 学科；纪律；训练；惩罚
vt. 训练
consequent,n. 结果，随之发生的
fulfil,vt. 履行
element,n. 元素
segment,n. 段
orchestra,n. 管弦乐队
muscle,n. 肌肉
function,n. 功能
metaphor,n. 暗喻
delegate,n. 代表，委派…为代表
fragile,adj. 脆的
radiate,adj. 辐射状的
situated,v. 使位于
invader,n. 侵略者
complete,adj. 完整的
kit,n. 工具箱
generate,vt. 使形成
remote,n. 远程
adj. 遥远的
stove,n. 火炉
avoid,vt. 避免；避开
dismiss,vt. 解散
bucket,n. 桶
owl,n. 猫头鹰
absenteeism,n. 旷工
apparent,adj. 显然的
succumb,vi. 屈服
stretch,vt. 伸展
minister,n. 部长
combustion,n. 燃烧
veterinary,
plausible,adj. 貌似可信的
elucidate,vt. 阐明
transient,n. 瞬变现象
sanitation,n. [医] 环境卫生
distortion,n. 变形
altruistic,adj. 利他的
climatic,adj. 气候的
pragmatic,adj. 实际的
dwindle,vi. 减少；变小
vt. 使缩小
disdain,
constituent,n. 成分
impetus,n. 动力
malleable,adj. 可锻的
renaissance,
incongruity,n. 不协调
instinctual,
pedigree,n. 血统
scuffle,n. 混战
treatise,n. 论述
hypothetical,adj. 假设的
smother,n. 窒息状态
excess,n. 超过
spine,n. 脊柱
stress,n. 压力
smooth,n. 平滑部分
incur,vt. 招致
missile,n. 导弹
compulsively,adv. 强制地
wrap,n. 外套
confine,n. 界限
limitation,n. 限制
chain,n. 链
sip,n. 抿
tedious,adj. 沉闷的
pathology,
setting,n. 环境
mood,n. 情绪
extinct,adj. 灭绝的
aridity,n. 干旱
vision,n. 视力
sausage,n. 香肠
organism,n. 有机体
surveillance,n. 监督
senior,n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的
vague,adj. 模糊的
translate,vt. 翻译
poverty,n. 贫困
breakwater,n. 防浪堤
modify,vt. 修改
clockwise,
isolate,n. [生物] 隔离种群
vt. 使隔离
highlight,n. 最精彩的部分
moist,adj. 潮湿的
threaten,vt. 威胁
underling,n. 下属
medium,adj. 中间的
detail,n. 细节
compile,vt. 编译
induction,n. [电磁] 感应；归纳法；感应现象；入门培训
link,n. [计] 链环
foreland,n. 沿海地区
unemployment,n. 失业
option,n. [计] 选项
bay,n. 海湾
slogan,n. 标语
instinct,n. 本能
marsh,n. 沼泽
mental,adj. 精神的
hospitality,n. 好客
origin,n. 起源
array,n. 数组
remain,n. 遗迹；剩余物
comprehension,n. 理解
notorious,adj. 声名狼藉的
cash,n. 现款
valid,adj. 有效的
enrich,vt. 使充实
tab,n. 标签
equation,n. 方程式
miracle,n. 奇迹
worthy,n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的
irrigation,n. 灌溉
chief,n. 首领
remedy,n. 补救
accelerate,vt. 使……加快
thoughtful,adj. 深思的
brunt,n. 冲击
prominence,n. 突出
compass,n. 指南针
inaugurate,vt. 创新
suppress,vt. 抑制
perpetuate,vt. 使不朽
configuration,n. 配置
replenish,vt. 补充
encompass,vt. 包含；包围
camouflage,n. 伪装
encapsulate,vt. 压缩
reinvigorate,vt. 使再振作
repatriate,
tensile,adj. [力] 拉力的
solidify,vt. 团结
propagate,vt. 传播
germinate,vt. 使发芽
unbeatable,adj. 无敌的
accredit,vt. 授权
disorientate,vt. 使迷惑
slumber,n. 睡眠
sufficient,adj. 足够的
antiquity,n. 高龄
pretend,vt. 假装
dominant,n. 显性
adj. 显性的；占优势的；支配的
privacy,n. 隐私
pilot,n. 飞行员
advance,n. 发展
efficiency,n. 效率
drainage,n. 排水
credible,adj. 可靠的
elaborate,adj. 精心制作的
consult,vi. 请教
fare,n. 票价
foundation,n. 基础
principal,adj. 主要的
collection,n. 采集
comparatively,adv. 比较地
victim,n. 受害人
aisle,n. 通道
lime,n. 石灰
scan,n. 扫描
sculpture,n. 雕塑
rigorous,adj. 严格的
fragment,n. 碎片
audio,adj. 声音的；[声] 音频的
landmark,n. [航]陆标
biography,n. 传记
dubious,adj. 可疑的
boulder,n. 卵石
drill,n. 训练
batch,n. 一批
camel,n. [畜牧][脊椎] 骆驼
shell,n. 壳
triangle,n. 三角（形）
subsidy,n. 补贴
contrived,adj. 人为的
joint,n. 关节；接缝；接合处
spray,n. 喷雾
meanwhile,adv. 同时
force,n. 力量；武力；军队；魄力
vt. 促使
evolve,vi. 发展
chew,n. 咀嚼；咀嚼物
vi. 细想
speculate,vi. 推测
bulge,n. 胀
insignificant,
revise,n. 修订
deposit,n. 存款
professional,n. 专业人员
rigid,adj. 严格的；僵硬的
solemn,adj. 庄严的
outsell,
forum,n. 论坛
anecdote,n. 轶事
conversely,
prefabricate,vt. 预先制造
paralysis,n. 麻痹
geometric,adj. 几何学的
floral,adj. 花的；植物的
pollinate,
objectify,vt. 使具体化
presuppose,vt. 假定
recapture,vt. 夺回
contrive,vt. 设计
anticipation,n. 希望
provenance,n. 出处
studious,adj. 用功的
vibrant,adj. 振动的
inventive,adj. 发明的
protrude,vi. 突出
managerial,adj. [管理] 管理的
notoriety,n. 恶名
opaque,adj. 不透明的
ape,n. [脊椎] 猿
partial,adj. 局部的
portable,n. 手提式打字机
adj. 手提的
depart,adj. 逝世的
vi. 离开；出发
gauge,n. 计量器
dialect,n. 方言
debate,n. 辩论；辩论会
vt. 辩论
freefone,n. 免费电话
cosmopolitan,n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的
helix,n. 螺旋
motion,n. 动作
understanding,n. 谅解
circumstance,n. 环境
temper,n. 脾气
bamboo,n. 竹
shore,n. 海滨；支柱
vt. 支撑
insurance,n. 保险
impress,n. 印象
maintain,vt. 维持
meaningful,adj. 有意义的
exist,vi. 存在
jostle,vt. 推挤
hostility,n. 敌意
appearance,n. 外貌
grind,n. 磨
optimistic,adj. 乐观的
tense,n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧
ignore,vt. 驳回诉讼
extract,n. 汁
therefore,adv. 因此
bar,n. 条
externally,adv. 外部地；外表上
abound,vi. 富于
subjective,adj. 主观的
particularly,adv. 特别地
quiver,n. 颤抖
marker,n. 记分员
district,n. 区域
MasterCard,
classification,n. 分类；类别
pollution,
obtain,vi. 获得
mandarin,n. （中国）普通话
probe,n. 探针
panic,n. 恐慌
disturb,vt. 打扰
grassy,adj. 长满草的
glorious,adj. 光荣的
fertile,adj. 富饶的
amateur,n. 爱好者
undisguised,adj. 无伪装的
silver,n. 银
fulfillment,n. 履行
aspire,vi. 渴望
recession,n. 衰退
miscellaneous,adj. 混杂的
caustic,n. [助剂] 腐蚀剂
reclaim,n. 改造
deflect,vt. 使转向
trench,n. 沟
holistically,
urbanization,n. 都市化
insularity,n. （思想、观点等）偏狭
permeate,vt. 渗透
repack,n. 重新打包
disruptive,adj. 破坏的
clinical,adj. 临床的
momentum,n. 势头
disempower,vt. 剥夺权力
depletion,n. 消耗
authenticate,vt. 鉴定
anatomy,n. 解剖
confidence,n. 信心
chemical,n. 化学制品
literal,adj. 文字的
comprehensive,n. 综合学校
glue,n. 胶
bureau,n. 局
marsupial,adj. [脊椎] 有袋的
commencement,n. 开始
brood,n. 一窝
interdependent,adj. 相互依赖的
prominent,adj. 突出的
conventional,adj. 符合习俗的
productivity,n. 生产力
viscous,adj. 粘性的
transform,vt. 改变
strategist,n. 战略家
indulge,vi. 沉溺
centrifugal force,
personality,n. 个性
definition,n. 定义
host,n. [计] 主机
feminism,n. 女权主义
abate,vt. 减轻
expectation,n. 期待
excessive,adj. 过多的
brilliant,adj. 灿烂的
hall,n. 过道
seminar,n. 讨论会
charcoal,n. 木炭；炭笔
vt. 用木炭画（过去式charcoaled
navigable,adj. 可航行的
foul,n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住
track and field,
contemplate,vt. 沉思
budget,n. 预算
flee,vt. 逃跑
worthwhile,adj. 值得做的
clamp,n. 夹钳
convenience,n. 便利
,n. 喷泉
migrant,n. 候鸟
deviance,n. 异常
estimate,n. 估计
tick off,na. 打上记号
livelihood,n. 生计
manufacture,n. 制造
censure,n. 责难
vt. 责难
voltage,
logic,n. 逻辑
metro,n. 地铁；大都市；伦敦地下铁道；麦德隆（财富500强公司之一
enroll,vi. 参加
civilization,n. 文明
compendium,n. 纲要
embark,vi. 从事
eject,vt. 喷射；驱逐
verification,n. 确认
autoimmune,adj. 自身免疫的
inheritance,n. 继承
relentless,adj. 无情的
requisite,n. 必需品
adj. 必备的
dizziness,n. 头晕
periphery,n. 外围
credential,n. 证书
facsimile,n. 传真
reel,n. 蹒跚
churn,n. 搅乳器
vt. 搅拌
nocturnal,adj. 夜的
obstruct,vt. 妨碍
prohibitive,adj. 禁止的
navigation,n. 航行
entwine,vt. 缠住
monumental,adj. 不朽的
reiterate,vt. 重申
jeopardise,vt. 危及（等于jeopardize）
peripheral,adj. 外围的
elusive,adj. 难懂的
distinctive,adj. 有特色的
board,n. 董事会
decompression,n. [特医] 解压
prevalent,adj. 流行的；普遍的
twist,n. 扭曲
rent,n. 租金
vt. 出租
eminent,adj. 杰出的
crescent,n. 新月
sucker,n. 吸管
calm,n. 风平浪静
adj. 静的
scope,n. 范围
cooperate,vi. 合作
applaud,vt. 赞同
appraisal,n. 评价；估价（尤指估价财产
allowance,n. 津贴
heir,n. [法] 继承人
domestic,n. 国货
unexpected,adj. 意外的
counsel,n. 法律顾问
competition,n. 竞争；比赛
imagine,vi. 想像
interact,n. 幕间剧
starchy,adj. 含淀粉的
exorbitant,adj. （要价等）过高的
large-scale,adj. 大规模的
region,n. 地区
alternate,n. 替换物
adj. 交替的
bargain,n. 交易
infection,n. 感染
conservative,n. 保守派
spin,n. 旋转
personnel,n. 人事部门
liver,n. 肝脏；生活者
inflammable,n. 易燃物，易燃的
disfigure,vt. 使变丑
swear,n. 发誓；诅咒
vi. 发誓
create,vt. 创造
mime,n. 哑剧
impose,vt. 强加
likelihood,n. 可能性
explode,vi. 爆炸
spectacular,adj. 壮观的
enormous,adj. 庞大的
counterproductive,adj. 反生产的
variant,n. 变体，不同的，多样的
healing,n. 康复，能治愈的
autocratic,adj. 专制的；独裁的
emulate,n. 仿真
disastrous,adj. 灾难性的
topple,vt. 推翻
resilience,n. 恢复力
collateral,n. 抵押品
colossal,adj. 巨大的；异常的
tackle,n. 滑车
coordinate,n. 坐标
supplementary,n. 补充者
scrutiny,n. 详细审查
cognition,n. 认识
repel,vt. 击退
domesticate,vt. 驯养
exhaustive,adj. 详尽的
calibrate,vt. 校正
descend,vi. 下降
frontier,n. 前沿
fascinating,adj. 迷人的
stroke,n. 中风；击打一下；击打键盘， 击球
solar,n. 日光浴室
adj. 太阳的
sympathise,vi. 同情
fusion,n. 融合
slash,n. 削减
diversity,n. 多样性
decline,n. 下降
crisis,n. 危机
edible,n. 食品
collaboration,n. 合作
decouple,n. 解 耦， 使之分离
participant,n. 参与者
weaken,vt. 减少
distract,vt. 转移
frown,n. 皱眉
skew,n. 斜交；歪斜
adj. 斜交的；歪斜的
vt. 使歪斜
vi. 偏离
glove,n. 手套，给…戴手套
beehive,n. 蜂窝
astray,adj. 迷路的
theory,n. 理论
weakness,n. 弱点
portion,n. 部分
compound,n. 化合物，复合的；合成
span,n. 跨度
vacancy,n. 空缺
locality,n. 所在
circle,n. 循环
accuracy,n. [数] 精确度
afford,vt. 给予
excellent,adj. 卓越的
connect,vt. 连接；联合；关连
vi. 连接
cylinder,n. 圆筒
disadvantage,n. 缺点
participate,vi. 参与
principle,n. 原理
refreshment,n. 点心
deteriorate,vi. 恶化
scorching,adj. 灼热的
meantime,n. 其时
townscape,n. 城镇的风景
upper,adj. 上面的
innocent,n. 天真的人
emphasis,n. 重点
approach,n. 方法
duration,n. 持续
primarily,adv. 首先；主要地
due,n. 应付款
keen,adj. 敏锐的
stiff,adj. 呆板的
timber,n. 木材
profound,adj. 深厚的
journalist,n. 新闻工作者
permission,n. 允许
labour,n. （英国）工党，劳工
quota,n. 配额
unconcerned,adj. 不关心的
suspect,n. 嫌疑犯
adj. 可疑的
deterioration,n. 恶化
triple,n. 三倍数
condemn,vt. 谴责；判刑
transcend,vt. 胜过
cumulative,adj. 累积的
horizontal,n. 水平线
adobe,n. 土砖
certify,v. 证明
arousal,n. 觉醒
addiction,n. 上瘾
allege,vt. 宣称
amphibious,adj. [生物] 两栖的
ascend,vi. 上升；登高；攀登
assert,vt. 维护
assure,vt. 保证
baffle,n. 挡板
bewilder,vt. 使迷惑
biodiversity,n. 生物多样性
bud,n. 芽
celestial,n. 神仙
combination,n. 结合
impact,vi. 影响；撞击；冲突
renew,vt. 使更新
bow,n. 弓，弯曲的
defeat,n. 失败的事实； 击败
subsoil,n. 底土；下层土，深挖
bin,n. 箱子
evoke,vt. 引起
flutter,n. 摆动
front-line,adj. 前线的
desperate,adj. 不顾一切的
wheelchair,
gear,n. 齿轮；装置
band,n. 带
breed,n. [生物] 品种；种类
intelligible,adj. 可理解的
essence,n. 本质
predispose,vt. 预先处置
display,n. 显示
enlarge,vt. 扩大
occur,vi. 发生
relate,vt. 叙述
stark,adj. 完全的
inform,vi. 告发
halt,n. 停止；休息；踌躇
deadline,n. 截止期限
limb,n. 肢
evolution,n. 演变
suitable,adj. 适当的
beverage,n. 饮料
influenza,n. [内科] 流行性感冒（简写flu）
criminal,n. 罪犯，刑事的
undoubtedly,adv. 确实地
avalanche,n. 雪崩， 崩塌
alienation,n. 异化
accumulate,vt. 积攒，累积
transmit,vt. 传输
identification,n. 鉴定
wander,vi. 徘徊；漫步；迷路
classical,n. 古典音乐， 古典的
abuse,n. 滥用；虐待；辱骂
fake,n. 假货
trace,n. 痕迹
convey,vt. 传达
boundary,n. 边界
frank,n. 免费邮寄特权，坦白的
bonus,n. 奖金
militant,adj. 好战的，富有战斗性的人
conduce,vi. 导致；有益
contaminant,n. 污染物
demerit,n. 缺点
denomination,n. 面额
disturbance,n. 干扰
enjoyable,adj. 快乐的
expiry,n. 满期
fluctuation,n. 起伏
frequency,n. 频率
hamlet,n. 小村庄
hence,adv. 因此
inadequate,adj. 不充分的
keystone,n. 主旨
manifest,vt. 证明
marginally,adv. 少量地
moderately,adv. 适度地
noticeable,adj. 显而易见的
optic,adj. 光学的
outweigh,vt. 比…重（在重量上）
long-term,adj. 长期的，从长远来看
finale,n. 结局
astonish,vt. 使惊讶
charge,n. 费用
module,n. [计] 模块
corps,n. 军团
petroleum,n. 石油
magma,n. [地质] 岩浆
stylish,adj. 时髦的
dump,n. 垃圾场；仓库， 倾倒
debris,n. 碎片
irony,n. 讽刺
component,n. 成分；组件， 组成的
fieldwork,n. 野外工作
contaminate,vt. 污染
applicant,n. 申请人
strap,n. 带
fundamental,n. 基本原理；基本原则
adj. 基本的
conclusion,n. 结论
intensity,n. 强度
notable,adj. 值得注意的
implement,n. 工具，实施
isle,n. 岛，使成为岛屿
cervical,adj. 颈的，子宫颈的
plot,n. 情节
acquaint,vt. 使熟悉
violence,n. 暴力
revolve,n. 旋转
vegetarian,n. 素食者
ratio,n. 比率
scream,n. 尖叫声
steep,n. 峭壁，陡峭的
analogous,adj. 类似的
cookery,n. 烹调术
high-tech,n. 高科技，高科技的
aggressive,adj. 侵略性的
process,n. 过程
hum,n. 嗡嗡声
sinister,adj. 阴险的
refinement,n. 精制
solidarity,n. 团结
outline,n. 轮廓
blank,n. 空白
photocopy,n. 复印件；影印
accessory,n. 配件
dean,n. 院长
compensate,vt. 补偿
chest,n. 胸部
tanker,n. 油轮
capture,n. 捕获；战利品，拍摄
in addition,另外
overestimate,vt. 对……评价过高
overview,n. [图情] 综述
pathway,n. 路
perplex,vt. 使困惑
recognition,n. 识别；承认
reconstruction,n. 再建
render,n. 打底
renewal,n. 更新
requisition,n. 征用
reserved,adj. 保留的
resolve,n. 坚决
sack,n. 麻布袋
slide,n. 滑动
slump,vt. 使降低；使衰落，暴跌
vi. 下降
tickle,n. 胳肢
transportation,n. 运输
unanimous,adj. 全体一致的
underestimate,n. 低估
understandable,adj. 可以理解的
transcribe,vt. 转录
differ,vi. 相异
undertake,vt. 承担
plus,prep. 加
recycle,n. 再生
captive,n. 俘虏
unconquerable,adj. 克服不了的
respect,n. 尊敬
neutral,adj. 中立的
campus,n. （大学）校园；大学
presentation,n. 展示；描述
residence,n. 住宅
mission,n. 使命
content,n. 内容
emit,vt. 发出
pamphlet,n. 小册子
assurance,n. 保证
equipment,n. 设备
hamster,n. 仓鼠
sensible,n. 敏感的人，明智的，合乎情理的
spacecraft,n. [航] 宇宙飞船
consequence,n. 结果
efficient,adj. 有效率的
current,n. （水
inversion,n. 倒置
elevate,vt. 提升
loan,n. 贷款
capable,adj. 能干的
performance,n. 性能
handicapped,n. 残疾人
household,n. 全家人
detrimental,n. 有害的人（或物）
decorate,vt. 装饰
nationality,n. 国籍
fleet,n. 舰队；港湾， 快速的
interfere,vi. 干涉
signal,n. 信号
rescue,n. 营救
proof,n. 证明
afflict,vt. 折磨
log,vi. 伐木
vt. 切
maritime,adj. 海的
formula,n. [数] 公式
therapy,n. 治疗
concession,n. 让步
whisper,n. 私语
grant,n. 拨款
relevant,adj. 相关的；有重大关系的
unrealistic,adj. 不切实际的
enfranchise,vt. 给予选举权；给予自治权；解放
disregard,n. 忽视
convert,n. 皈依者；改变宗教信仰者，转变
grasp,n. 抓住
wealthy,n. 富人
adj. 富有的
object,n. 目标
tariff,n. 关税表
defendant,n. 被告
adj. 辩护的
bankruptcy,n. 破产
connection,n. 连接
airtight,adj. 密闭的
unprejudiced,adj. 没有成见的
leather,n. 皮革
unregistered,adj. [法] 未注册的
versus,prep. 对
wretch,n. 可怜的人
acceptable,adj. 可接受的
antique,n. 古董
autobiography,n. 自传
browse,n. 浏览
dot,n. 点
emotional,adj. 情绪的
extrovert,n. 外向
favourite,n. 特别喜爱的
hang,n. 悬挂；暂停
harmony,n. 协调
hospitable,adj. 热情友好的
inflate,vt. 使充气
influential,adj. 有影响的
insane,adj. 疯狂的
inscribe,vt. 题写
hostel,n. 旅社
substance,n. 物质
refectory,n. 食堂；修道院
fuse,n. 保险丝
contemporary,n. 同时代的人
continuity,n. 连续性
advantage,n. 优势
tube,n. 管
beneficial,adj. 有益的
inhibit,vt. 抑制
damage,vi. 损害；损毁
vibrate,vt. 使振动
inspire,vt. 激发
introvert,n. 内向的人
pedestrian,n. 行人
punch,n. 冲压机
rectangle,n. 矩形
relative,n. 亲戚
sociable,n. 联谊会，社交的
spacious,adj. 宽敞的
religion,n. 宗教
demographic,adj. 人口统计学的
random,n. 随意， 随机的
repay,vt. 回报
vacuum,n. 真空
firm,n. 公司
digital,n. 数字
humour,n. 幽默（等于humor）
global,adj. 全球的
cluster,n. 群
handout,n. 散发材料（免费发给的新闻通报）
endure,vt. 忍耐
helicopter,n. 直升飞机， 乘直升飞机
lead to,na. 通向

sprawl,n. 蔓生
crowded,adj. 拥挤的
knob,n. 把手
ideal,n. 理想
in comparison with,
midst,n. 当中
fluctuate,vi. 波动
neglect,vt. 疏忽
drought,n. 干旱
hug,n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有
variability,n. 可变性
indication,n. 指示
insert,n. 插入物
in addition to,除了
certificate,n. 证书；执照
diameter,n. 直径
gesture,n. 姿态
disclose,vt. 公开
successive,adj. 连续的
balance,n. 平衡
adjust,vt. 调整
fairly,adv. 相当地
precise,adj. 精确的
colour-blind,adj. 色盲的，无种族歧视的
trustworthy,adj. 可靠的
vomit,n. 呕吐
wrestle,n. 摔跤
adolescence,n. 青春期
captivity,n. 囚禁
commerce,n. 贸易
condensation,n. 冷凝
facial,n. 美容
herbal,n. 植物志
hover,n. 徘徊；盘旋；犹豫
imprecise,adj. 不精确的
inactive,adj. 不活跃的
initiate,n. 开始；新加入者
longitude,n. [地理] 经度
procrastinate,vi. 耽搁
rarity,n. 罕见
seclude,vt. 使隔离
ongoing,adj. 不间断的
almond,n. 扁桃仁
feed,n. 饲料
scenery,n. 风景
stagnate,vt. 使阻塞，停滞，萧条
ozone,n. [化学] 臭氧
tap,n. 水龙头，轻拍，采用
owe,vt. 欠钱，感激，归功于
ministry,n. （政府的）部门
laser,n. 激光

individual,n. 个人
association,n. 协会
tempt,vt. 诱惑
beneath,prep. 在…之下， 在下方
naturally,adv. 自然地，天生的
microscope,n. 显微镜
estate,n. 房地产
discourage,vt. 阻止
briefcase,n. 公文包
candidate,n. 候选人
melt,vi. 熔化
shrug,n. 耸肩
vi. 耸肩
vt. 耸肩
frightened,v. 害怕
relax,vi. 放松
aerospace,n. 航空宇宙
suppose,vt. 假设
tenable,adj. （主张等）站得住脚的
sustain,vt. 维持；支撑
straw,n. 稻草
border,n. 边境
dispenser,n. 药剂师
receiver,n. 接收器；接受者；收款员
monopoly,n. 垄断
bureaucracy,n. 官僚主义
construction,n. 建设
endorse,vt. 背书
embryo,n. [胚] 胚胎
silicon,n. [化学] 硅
intelligence,n. 智力；情报工作，才智
mature,adj. 成熟的
discard,n. 抛弃
roast,n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤
computerize,vt. 使电脑化
popularize,vt. 普及
devalue,vt. 使贬值
ferry,n. 渡船
iron,n. 熨斗，熨衣服
bully,n. 欺凌弱小者
storyline,n. 故事情节
orbit,n. 轨道
combat,n. 战斗
slothful,adj. 怠惰的
catastrophic,adj. 灾难的；悲惨的；灾难性的
abide,vi. 持续；忍受；停留
vt. 忍受
allure,n. 诱惑力，引诱
oxygen,n. [化学] 氧气
pervasive,adj. 普遍的
encroach,vi. 蚕食
fantastic,n. 古怪的人，异想天开的；极好的
abhorrent,adj. 可恶的
inflict,vt. 造成
tilt,n. 倾斜
vt. 使倾斜
mosquito,n. 蚊子
offensive,adj. 攻击的
extravagant,adj. 奢侈的
begrimed,adj. 污秽的
v. 积垢
ruthless,adj. 无情的
jargon,n. 行话
diverse,adj. 不同的
extinguish,vt. 熄灭
estrange,vt. 使疏远
neoclassical,adj. 新古典主义的
biased,adj. 有偏见的；结果偏倚的
grimy,adj. 肮脏的
enhancer,n. [遗] 增强子
ulterior,adj. 将来的
corrupt,adj. 腐败的
stringent,adj. 严格的
novice,n. 初学者
hinder,vt. 阻碍
impoverished,adj. 穷困的；用尽了的
shallow,n. [地理] 浅滩
adj. 浅的
inundate,vt. 淹没
erode,vt. 腐蚀
doom,n. 厄运
alienate,vt. 使疏远
brazen,adj. 厚颜无耻的
tortoise,n. 龟
commiserate,vt. 同情
outlaw,n. 歹徒
pavement,n. 人行道
路面
antiquated,adj. 过时的
coral,n. 珊瑚
incinerate,vt. 焚化
,n. 再生性能源，可再生的
shin,n. 腿骨， 爬
enslave,vt. 束缚
timid,adj. 胆小的
vile,adj. 卑鄙的
diesel,n. 柴油机
guzzle,n. 狂饮
torment,n. 痛苦
revive,vt. 使复兴；使苏醒；回想起；重演
inhumane,adj. 残忍的
imperil,vt. 危及
diverge,vt. 使偏离
irrational,n. [数] 无理数
adj. 不合理的
verbal,n. 动词的非谓语形式， 口头的
saline,n. 盐湖
disable,vt. 使失去能力
seduce,vt. 引诱
relocate,n. 浮动，重新安置，迁移
angle,n. 角度
legitimate,adj. 合法的
sedentary,adj. 久坐的
water-borne,adj. 水传播的
molten,adj. 熔化的
processor,n. [计] 处理器
saturate,adj. 浸透的
trivialize,vt. 使平凡
assault,n. 攻击
obscene,adj. 淫秽的
authentic,adj. 真正的
righteous,adj. 正义的
gregarious,adj. 社交的
heartless,adj. 无情的
instil,vt. 逐渐灌输
infringe,vt. 侵犯
comic,n. 连环漫画
transplant,n. 移植
algebra,n. 代数学
spur,n. 鼓舞
barbaric,adj. 野蛮的
delinquent,n. 流氓
retaliate,vi. 报复
perpetrate,vt. 犯（罪）
gorilla,n. 大猩猩
sluttish,adj. 懒惰的
anchor,n. 锚
despoil,vt. 掠夺
discourteous,adj. 失礼的
gene,n. [遗] 基因
lax,n. 松懈的
boost,n. 推动
smear,n. 涂片
lenient,adj. 宽大的
synthetic,n. 合成物，综合的；合成的
enact,vt. 颁布
resent,vt. 怨恨
affluent,n. 支流
trunk,n. 树干
coexist,vi. 共存
aviation,n. 航空
rampant,adj. 猖獗的
prolonged,adj. 延长的
crushing,v. 压破
futile,adj. 无用的
edify,vt. 熏陶
vulgar,n. 平民
